Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
General Dynamics,9/8/84,21:41:00,Atlas-E/F SGS-2,GPS-10,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
NASA,10/5/84,11:03:00,Space Shuttle Challenger,STS-41-G,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
NASA,11/8/84,12:15:00,Space Shuttle Discovery,STS-51-A,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,12/4/84,18:03:00,Titan 34D,USA-6 (KH-11),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,12/12/84,10:42:00,Atlas-E/F Star-37S-ISS,NOAA-F,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,12/22/84,0:02:00,Titan 34D,DSP-12,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,1/24/85,19:50:00,Space Shuttle Discovery,STS-51-C,Retired,Success,Night,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,2/8/85,,Titan III(34)B Agena-D,Quasar 6,Retired,Success,,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,3/13/85,2:00:00,Atlas-E/F OIS,Geosat,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,3/22/85,23:55:00,Atlas-G Centaur-D1AR,Intelsat V -510,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
NASA,4/12/85,13:59:00,Space Shuttle Discovery,STS-51-D,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
NASA,5/6/85,16:02:00,Space Shuttle Challenger,STS-51-B,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
NASA,6/17/85,11:33:00,Space Shuttle Discovery,STS-51-G,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,6/30/85,0:44:00,Atlas-G Centaur-D1AR,Intelsat V -511,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
NASA,7/25/85,21:00:00,Space Shuttle Challenger,STS-51-F,Retired,Success,Night,LC-39A,Kennedy Space Center,Florida,USA
NASA,8/27/85,10:58:00,Space Shuttle Discovery,STS-51-I,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,8/28/85,21:20:00,Titan 34D,KH-11,Retired,Failure,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,9/28/85,23:17:00,Atlas-G Centaur-D1AR,Intelsat V -512,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
NASA,10/3/85,15:15:00,Space Shuttle Atlantis,STS-51-J,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,10/9/85,2:53:00,Atlas-E/F SGS-2,GPS-11,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
NASA,11/6/85,17:00:00,Space Shuttle Challenger,STS-61-A,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
NASA,11/27/85,0:29:00,Space Shuttle Atlantis,STS-61-B,Retired,Success,Night,LC-39A,Kennedy Space Center,Florida,USA
NASA,1/12/86,11:55:00,Space Shuttle Columbia,STS-61-C,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
NASA,1/28/86,16:38:00,Space Shuttle Challenger,STS-51-L,Retired,Failure,Day,LC-39A,Kennedy Space Center,Florida,USA
General Dynamics,2/9/86,10:06:00,Atlas-H MSD,NOSS-8,Retired,Success,Day,SLC-3E,Vandenberg AFB,California,USA
